Incident Report Number,Crime Type,Date,Time,LOCATION_TYPE,ADDRESS,LONGITUDE,LATITUDE,State,Country,Continent
20165019955,CRIMINAL MISCHIEF,5/13/2016,1550,,ANDERSON MILL RD / N US 183 HWY SVRD NB,-97.79003506,30.44889007,Texas,United States of America,North America
2016450065,AGG ROBBERY/DEADLY WEAPON,2/14/2016,112,,N IH 35 SVRD SB / E ANDERSON LN SVRD EB,-97.70065304,30.3395016,Texas,United States of America,North America
20165017548,SUSPICIOUS PERSON,4/27/2016,645,,BATTLE BEND BLVD / FORT CLARK DR,-97.76574474,30.20392416,Texas,United States of America,North America
20161200260,AGG ASSAULT,4/28/2016,2200,,CONGRESS AVE / E 7TH ST,-97.74247831,30.26896562,Texas,United States of America,North America
2016320118,ROBBERY INFORMATION,2/1/2016,150,,W WILLIAM CANNON DR / WEST GATE BLVD,-97.81539701,30.20719838,Texas,United States of America,North America
2016160737,ASSAULT WITH INJURY,1/16/2016,1143,,CONGRESS AVE / E 9TH ST,-97.74176228,30.27085162,Texas,United States of America,North America
20165009420,DISTURBANCE - OTHER,3/4/2016,2030,,S 5TH ST / W OLTORF ST,-97.7643387,30.24393779,Texas,United States of America,North America
2016701071,AGG ASSAULT,3/10/2016,1515,,N IH 35 SVRD NB / E BRAKER LN,-97.67558918,30.37694541,Texas,United States of America,North America
2016730386,AGG ASSAULT,3/13/2016,430,,N IH 35 SVRD NB / E RUNDBERG LN,-97.68750279,30.35790326,Texas,United States of America,North America
2016600758,RAPE,2/29/2016,1356,,E RIVERSIDE DR / WICKERSHAM LN,-97.72041405,30.23238079,Texas,United States of America,North America
2016530235,ROBBERY INFORMATION,2/22/2016,540,,W STASSNEY LN / EMERALD FOREST DR,-97.78709172,30.21068436,Texas,United States of America,North America
20165008315,DISTURBANCE - OTHER,2/26/2016,1737,,NORTH HILLS DR / HART LN,-97.75793052,30.35296981,Texas,United States of America,North America
20161131359,DISTURBANCE - OTHER,4/22/2016,1750,,E 7TH ST / N IH 35 SVRD SB,-97.73467173,30.26681904,Texas,United States of America,North America
20165007478,CRIMINAL MISCHIEF,2/21/2016,1511,,COMAL ST / WILLOW ST,-97.72909999,30.25759678,Texas,United States of America,North America
20165024862,GRAFFITI,6/15/2016,1200,,SPEEDWAY / W 43RD ST,-97.72981954,30.3064603,Texas,United States of America,North America
20165007636,THEFT OF BICYCLE,2/22/2016,710,,TRINITY ST / E CESAR CHAVEZ ST,-97.74108315,30.26239435,Texas,United States of America,North America
20165000550,CRIMINAL MISCHIEF,12/29/2015,1200,,W 6TH ST / NUECES ST,-97.74843013,30.26962764,Texas,United States of America,North America
20165019138,BURGLARY OF VEHICLE,5/7/2016,1200,,SAN GABRIEL ST / W 28TH HALF ST,-97.74708864,30.29557475,Texas,United States of America,North America
20165029513,BURGLARY OF VEHICLE,7/17/2016,30,,NECHES ST / E 8TH ST,-97.73756952,30.26863799,Texas,United States of America,North America
2016271766,THEFT,1/27/2016,2059,,E OLTORF ST / WILLOW CREEK DR,-97.73102275,30.22975017,Texas,United States of America,North America
20161430330,AGG ROBBERY/DEADLY WEAPON,5/22/2016,310,,E 4TH ST / SAN MARCOS ST,-97.73337554,30.26329981,Texas,United States of America,North America
